id,pop,pop_above_60
29165,93394,16898
29167,31107,7085
29183,374805,68298
29187,66010,13989
29189,1001327,224308
29201,39061,9010
29207,29837,7626
29209,31375,11454
29213,53555,14002
29219,33043,7336
29225,36690,7220
29510,317850,53785
30013,82090,18553
30029,93333,22030
30031,95323,15055
30047,29157,7790
30049,65357,15087
30063,111966,21070
30081,40823,12783
30093,34549,8164
30111,153692,32881
31001,31442,7083
31019,47958,8628
31053,36725,9069
31055,537655,89049
31079,60792,11587
31109,298080,51309
31111,35896,8203
31119,35111,7079
31141,32642,7044
31153,169192,24343
31157,36684,8943
32003,2035572,370884
32005,47259,15516
32007,51562,7357
32019,51657,13638
32023,42625,14953
32031,435019,88355
32510,54482,13746
33001,60399,16578
33003,47513,15554
33005,76430,18420
33007,31870,9420
33009,89341,22134
33011,403972,78728
33013,147262,32714
33015,299006,64335
33017,125273,23153
33019,43135,11246
34001,275376,60438
34003,926330,200925
34005,450556,94456
34007,511998,100231
34009,95805,30695
34011,157035,29269
34013,791609,137963
34015,290298,57520
34017,662619,102586
34019,126250,27555
34021,370212,71665
34023,830300,154850
34025,629185,135052
34027,498192,104850
34029,583450,162811
34031,507574,91988
34033,65120,15148
34035,330604,64297
34037,145930,30642
34039,548744,99790
34041,107226,23372
35001,673943,132178
35005,65811,13390
35009,50497,8206
35013,213963,39685
35015,55641,11400
35017,29119,8993
35025,68149,10356
35031,73998,11219
35035,65318,14527
35039,39949,9162
35043,136638,28159
35045,125133,21933
35047,28668,7031
35049,147108,39523
35055,32943,9553
35061,76297,15881
36001,307463,64334
36003,48070,11140
36005,1428357,224089
36007,198093,46577
36009,78962,18761
36011,79173,18525
36013,132646,32431
36015,88267,20211
36017,49549,12243
36019,81685,17111
36021,62195,17480
36023,49043,10101
36025,46901,13533
36027,296928,62889
36029,921584,205850
36031,38912,10626
36033,51280,10911
36035,54606,13090
36037,59458,13345
36039,48312,12998
36043,64034,16128
36045,118947,19579
36047,2595259,443018
36051,64801,13998
36053,72427,16189
36055,749356,158313
36057,49779,11670
36059,1354612,303626
36061,1629507,321087
36063,214150,50354
36065,233558,55325
36067,468304,98053
36069,109192,26930
36071,375384,66465
36073,42204,9129
36075,121183,24401
36077,61399,15348
36079,99488,20440
36081,2301139,436327
36083,159900,34339
36085,472481,95425
36087,320688,64048
36089,112011,23569
36091,223774,48019
36093,154796,33294
36095,31913,8217
36099,35144,8184
36101,98665,23732
36103,1501373,309080
36105,76330,17416
36107,50199,12222
36109,103855,17909
36111,181300,43737
36113,65180,17307
36115,62700,14611
36117,92416,20819
36119,967315,203078
36121,41446,8990
37001,155258,33117
37003,37158,9025
37009,27114,8315
37013,47561,13618
37017,34720,8784
37019,115926,41221
37021,247336,60458
37023,89548,21952
37025,188375,32830
37027,81758,20150
37031,68228,19829
37035,154610,33658
37037,67431,20293
37039,27092,9505
37045,97178,22679
37047,57230,13539
37049,104450,23310
37051,324603,49175
37055,34863,9321
37057,163867,36199
37059,41447,10397
37061,59453,12814
37063,288817,46735
37065,55280,12591
37067,361684,71186
37069,62296,12786
37071,209807,42939
37077,58109,12655
37081,506763,95853
37083,53407,13326
37085,124320,18884
37087,59170,17790
37089,109719,33901
37097,165066,32451
37099,40812,9833
37101,178396,30686
37105,59418,11963
37107,58782,14308
37109,79578,17236
37111,44961,11029
37113,33919,11743
37119,990288,143162
37125,91743,27654
37127,94722,21395
37129,213091,45181
37133,183753,21516
37135,138644,22494
37139,40018,8240
37141,55166,12699
37145,39262,9312
37147,173798,27709
37149,20327,7381
37151,142370,31357
37153,46046,10496
37155,134871,24672
37157,92300,22955
37159,138361,30235
37161,66865,17561
37163,63873,13750
37165,35932,7953
37167,60586,14342
37169,46661,11685
37171,73170,18261
37175,32928,11816
37179,213422,33229
37181,44829,9937
37183,976019,139480
37189,52240,9949
37191,124355,24425
37193,68946,17887
37195,81581,18270
37197,37971,9154
38015,88223,17595
38017,162500,25279
38035,68979,11064
38101,67736,11110
39003,105196,22871
39005,53189,12394
39007,99777,23819
39009,64974,10178
39011,45873,10387
39013,69560,18034
39015,44247,9557
39017,372538,68760
39019,28361,7160
39021,39393,8858
39023,136827,33023
39025,200285,38719
39027,41892,9056
39029,105987,26385
39031,36724,8655
39033,42725,11057
39035,1263189,286455
39037,52356,12895
39039,38669,8722
39041,185433,30675
39043,76141,19366
39045,149112,29655
39049,1215761,190619
39051,42485,9386
39053,30565,7011
39055,93874,22935
39057,164192,34747
39059,39626,9530
39061,804194,161424
39063,75428,16286
39071,43170,10070
39075,43436,7474
39077,58937,12552
39081,68053,18212
39083,61004,13590
39085,229437,55208
39087,61827,14852
39089,168693,34942
39091,45484,10702
39093,303152,68142
39095,436261,88721
39097,43456,8369
39099,234550,60801
39101,65943,14449
39103,174831,37168
39107,40863,8917
39109,103517,23997
39113,533763,121012
39117,34996,7785
39119,86016,19627
39123,41162,12037
39127,36025,7454
39129,56515,11090
39133,161897,32807
39135,41682,10035
39137,34184,7270
39139,122312,29887
39141,77334,16158
39143,60187,13886
39145,78017,17517
39147,55929,12649
39149,49067,9854
39151,374979,89394
39153,541847,120718
39155,206373,53951
39157,92697,22477
39159,53470,8341
39165,219916,39716
39167,61351,15551
39169,115371,25433
39171,37386,8783
39173,128885,24584
40013,44003,9880
40017,126193,21299
40019,48442,10344
40021,48097,9448
40027,268614,44728
40031,125531,19174
40037,70761,16123
40041,41409,12402
40047,62192,12908
40051,53612,10959
40071,45587,11124
40079,49899,11348
40081,34504,8034
40083,44493,9177
40087,36512,7432
